stop_id,title,lat,long
campmath,Campus Dr at Math Slip,38.9878609,-76.9386053
paingree,Campus Drive and Diamondback Drive,38.9879877,-76.934037
painrhod,Campus Drive and Rhode Island Avenue (Outbound),38.9836051,-76.9313264
cpmetro_d,College Park - UMD Metro Station,38.9755375,-76.9279988
painrhod_in,Campus Drive and Rhode Island Avenue (Inbound),38.9835717,-76.930958
painglen,Glenn L. Martin Wind Tunnel,38.9899498,-76.9372499
stamsu_d,Stamp Student Union - Slip,38.9876099,-76.9439449
artsoci,Art/Sociology Building,38.98529,-76.94677
wico,Wicomico Hall,38.98375,-76.94516
lotu4,Preinkert Drive at Lot MV,38.9821893,-76.944884
guilrowa,Guilford Drive and Rowalt Drive (Outbound),38.978183,-76.939469
hartshop,Baltimore Avenue and Hartwick Road (Inbound),38.97944,-76.93783
mont_in,Montgomery Hall (Inbound),38.9824955,-76.9391275
memo_in,Memorial Chapel (Inbound),38.9845403,-76.94007
mitc_in,Mitchell Building (Inbound),38.9863659,-76.9401199
regestad,Regents Dr and Stadium Dr,38.990012,-76.9406498
regefarm_out,Regents Dr and Farm Dr (Outbound),38.9912621,-76.9406599
regecomc_out,Regents Drive at XFINITY Center (Outbound),38.9934725,-76.9399271
regepain_out,Regents Dr and Paint Branch Dr (Outbound),38.9936299,-76.9374809
shutbase_out,Shuttle-UM Base (Outbound),38.9953477,-76.9374989
lot4_out,Paint Branch Dr at Lot 4b (Outbound),38.997895,-76.940414
metzgree,Metzerott Rd and Greenmead Dr,39.0009112,-76.9444714
gree_out,Greenmead Dr at Maryland 4-H (Outbound),39.0020477,-76.9434987
cour500,Courtyards #500,39.0030898,-76.94257
greemead_in,Greenmead Dr at Maryland 4-H (Inbound),39.0026768,-76.9433279
greemetz,Greenmeade Dr and Metzerott Rd,39.0010682,-76.9446931
lot4_in,Paint Branch Dr at Lot 4b (Inbound),38.9978287,-76.9404883
shutbase_in,Shuttle-UM Base (Inbound),38.9953571,-76.9375886
regepain,Regents Dr and Paint Branch Dr (Inbound),38.9936749,-76.9377348
regecomc_in,Regents Drive at XFINITY Center (Inbound),38.9936404,-76.9398124
regefarm_in,Regents Dr and Farm Dr (Inbound),38.9914838,-76.9407074
regegara_d,Regents Drive Garage,38.9895254,-76.94075
camplt1d,Campus Dr at Lot 3,38.9846897,-76.9510623
umuc,UMUC - College Park Marriott,38.985281,-76.9540366
metzgree_out,Metzerott Rd and Greenmead Dr (Outbound),39.0008257,-76.9439972
metz36th,Metzerott Road and 36th Avenue (Outbound),39.0014357,-76.9474842
metzstan_out,Metzerott Road and St. Andrew's Place (Outbound),39.0018938,-76.9501337
metzsa,Metzerott Rd @ System Administration,39.002414,-76.9531702
arch_ob,Metzerott Rd at Archives II (Outbound),39.0031633,-76.9581295
metzadel,Metzerott Rd and Adelphi Rd,39.0025171,-76.9657198
