route,days,direction,stops,trips
142,mtw,brokride,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '06:25:00', 'arrival_time_secs': '23100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}]]"
142,f,brokride,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '06:25:00', 'arrival_time_secs': '23100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}]]"
142,f,regegara,"[{'name': 'Broken Land Park & Ride East Lot', 'stop_id': 'brokride'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'brokride', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'brokride', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'brokride', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:15:00', 'arrival_time_secs': '65700000'}], [{'stop_id': 'brokride', 'arrival_time': '19:15:00', 'arrival_time_secs': '69300000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:50:00', 'arrival_time_secs': '71400000'}]]"
142,mtw,regegara,"[{'name': 'Broken Land Park & Ride East Lot', 'stop_id': 'brokride'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'brokride', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'brokride', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'brokride', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:15:00', 'arrival_time_secs': '65700000'}], [{'stop_id': 'brokride', 'arrival_time': '19:15:00', 'arrival_time_secs': '69300000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:50:00', 'arrival_time_secs': '71400000'}]]"
142,th,brokride,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '06:25:00', 'arrival_time_secs': '23100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}]]"
142,th,regegara,"[{'name': 'Broken Land Park & Ride East Lot', 'stop_id': 'brokride'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'brokride', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'brokride', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'brokride', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:15:00', 'arrival_time_secs': '65700000'}], [{'stop_id': 'brokride', 'arrival_time': '19:15:00', 'arrival_time_secs': '69300000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:50:00', 'arrival_time_secs': '71400000'}]]"
142,mtw,brokride,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '06:25:00', 'arrival_time_secs': '23100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}]]"
142,f,brokride,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '06:25:00', 'arrival_time_secs': '23100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}]]"
142,f,regegara,"[{'name': 'Broken Land Park & Ride East Lot', 'stop_id': 'brokride'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'brokride', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'brokride', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'brokride', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:15:00', 'arrival_time_secs': '65700000'}], [{'stop_id': 'brokride', 'arrival_time': '19:15:00', 'arrival_time_secs': '69300000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:50:00', 'arrival_time_secs': '71400000'}]]"
142,mtw,regegara,"[{'name': 'Broken Land Park & Ride East Lot', 'stop_id': 'brokride'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'brokride', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'brokride', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'brokride', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:15:00', 'arrival_time_secs': '65700000'}], [{'stop_id': 'brokride', 'arrival_time': '19:15:00', 'arrival_time_secs': '69300000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:50:00', 'arrival_time_secs': '71400000'}]]"
